Stock ID,Year,Genus,Species,Predicted Value,Standard Error,LCI,UCI,Relative to Mean,
ICES-NWWG_morhua_FAPL5b1,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
ICES-NWWG_morhua_FAPL5b1,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
ICES-NWWG_morhua_FAPL5b1,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
ICES-NWWG_morhua_ICE55a,1960,Gadus,morhua,0.116,0.235,-0.353,0.585,Above,
ICES-NWWG_morhua_ICE55a,1970,Gadus,morhua,0.024,0.162,-0.299,0.348,Below,
ICES-NWWG_morhua_ICE55a,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Below,
ICES-NWWG_morhua_ICE55a,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
ICES-NWWG_morhua_ICE55a,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Below,
ICES-NWWG_morhua_ICE55a,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
ICES-NWWG_virens_FA5a,1980,Pollachius,virens,-0.199,0.101,-0.401,0.003,Above,
ICES-NWWG_virens_FA5a,1990,Pollachius,virens,-0.179,0.090,-0.359,0.001,Above,
ICES-NWWG_virens_FA5a,2000,Pollachius,virens,-0.093,0.087,-0.268,0.082,Below,
ICES-NWWG_virens_FA5a,latest,Pollachius,virens,0.448,0.087,0.274,0.623,Above,
ICES-NWWG_virens_FA5b,1970,Pollachius,virens,0.024,0.162,-0.299,0.348,Below,
ICES-NWWG_virens_FA5b,1980,Pollachius,virens,-0.199,0.101,-0.401,0.003,Above,
ICES-NWWG_virens_FA5b,1990,Pollachius,virens,-0.179,0.090,-0.359,0.001,Below,
ICES-NWWG_virens_FA5b,2000,Pollachius,virens,-0.093,0.087,-0.268,0.082,Below,
ICES-NWWG_virens_FA5b,latest,Pollachius,virens,0.448,0.087,0.274,0.623,Below,
ICES-WGBFAS_harengus_BS 25-29-32,1980,Clupea,harengus,-0.199,0.101,-0.401,0.003,Above,
ICES-WGBFAS_harengus_BS 25-29-32,1990,Clupea,harengus,-0.179,0.090,-0.359,0.001,Below,
ICES-WGBFAS_harengus_BS 25-29-32,2000,Clupea,harengus,-0.093,0.087,-0.268,0.082,Below,
ICES-WGBFAS_harengus_BS 25-29-32,latest,Clupea,harengus,0.448,0.087,0.274,0.623,Above,
ICES-WGBFAS_harengus_BS 28.1,1980,Clupea,harengus,-0.199,0.101,-0.401,0.003,Below,
ICES-WGBFAS_harengus_BS 28.1,1990,Clupea,harengus,-0.179,0.090,-0.359,0.001,Below,
ICES-WGBFAS_harengus_BS 28.1,2000,Clupea,harengus,-0.093,0.087,-0.268,0.082,Below,
ICES-WGBFAS_harengus_BS 28.1,latest,Clupea,harengus,0.448,0.087,0.274,0.623,Above,
ICES-WGBFAS_morhua_WBS,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
ICES-WGBFAS_morhua_WBS,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Below,
ICES-WGBFAS_Solea_BSIIIa,1990,Solea,Solea,-0.179,0.090,-0.359,0.001,Below,
ICES-WGBFAS_Solea_BSIIIa,2000,Solea,Solea,-0.093,0.087,-0.268,0.082,Above,
ICES-WGBFAS_Solea_BSIIIa,latest,Solea,Solea,0.448,0.087,0.274,0.623,Above,
ICES-WGBFAS_sprattus_BS 22-32,1980,Sprattus,sprattus,-0.199,0.101,-0.401,0.003,Below,
ICES-WGBFAS_sprattus_BS 22-32,1990,Sprattus,sprattus,-0.179,0.090,-0.359,0.001,Below,
ICES-WGBFAS_sprattus_BS 22-32,2000,Sprattus,sprattus,-0.093,0.087,-0.268,0.082,Above,
ICES-WGBFAS_sprattus_BS 22-32,latest,Sprattus,sprattus,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_aeglefinus_ISbc-ek,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_aeglefinus_ISbc-ek,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_aeglefinus_ROCK6b,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_aeglefinus_ROCK6b,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_labrax_IS6a-7b-7j,1970,Dicentrarchus,labrax,0.024,0.162,-0.299,0.348,Below,
ICES-WGCSE_labrax_IS6a-7b-7j,1980,Dicentrarchus,labrax,-0.199,0.101,-0.401,0.003,Below,
ICES-WGCSE_labrax_IS6a-7b-7j,1990,Dicentrarchus,labrax,-0.179,0.090,-0.359,0.001,Below,
ICES-WGCSE_labrax_IS6a-7b-7j,2000,Dicentrarchus,labrax,-0.093,0.087,-0.268,0.082,Above,
ICES-WGCSE_labrax_IS6a-7b-7j,latest,Dicentrarchus,labrax,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_merlangys_CS27.6a,1990,Merlangius,merlangys,-0.179,0.090,-0.359,0.001,Below,
ICES-WGCSE_merlangys_CS27.6a,2000,Merlangius,merlangys,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_merlangys_CS27.6a,latest,Merlangius,merlangys,0.448,0.087,0.274,0.623,Below,
ICES-WGCSE_merlangys_CS7a,1980,Merlangius,merlangys,-0.199,0.101,-0.401,0.003,Above,
ICES-WGCSE_merlangys_CS7a,1990,Merlangius,merlangys,-0.179,0.090,-0.359,0.001,Above,
ICES-WGCSE_merlangys_CS7a,2000,Merlangius,merlangys,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_merlangys_CS7a,latest,Merlangius,merlangys,0.448,0.087,0.274,0.623,Below,
ICES-WGCSE_morhua_IS7a,1970,Gadus,morhua,0.024,0.162,-0.299,0.348,Below,
ICES-WGCSE_morhua_IS7a,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Below,
ICES-WGCSE_morhua_IS7a,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
ICES-WGCSE_morhua_IS7a,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
ICES-WGCSE_morhua_IS7a,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_morhua_NS6a,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
ICES-WGCSE_morhua_NS6a,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_morhua_NS6a,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Below,
ICES-WGCSE_platessa_IS27.7a,1990,Pleuronectes,platessa,-0.179,0.090,-0.359,0.001,Below,
ICES-WGCSE_platessa_IS27.7a,2000,Pleuronectes,platessa,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_platessa_IS27.7a,latest,Pleuronectes,platessa,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_platessa_IS7e,1980,Pleuronectes,platessa,-0.199,0.101,-0.401,0.003,Below,
ICES-WGCSE_platessa_IS7e,1990,Pleuronectes,platessa,-0.179,0.090,-0.359,0.001,Above,
ICES-WGCSE_platessa_IS7e,2000,Pleuronectes,platessa,-0.093,0.087,-0.268,0.082,Above,
ICES-WGCSE_platessa_IS7e,latest,Pleuronectes,platessa,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_solea_CS7f-7g,1980,Solea,solea,-0.199,0.101,-0.401,0.003,Above,
ICES-WGCSE_solea_CS7f-7g,1990,Solea,solea,-0.179,0.090,-0.359,0.001,Below,
ICES-WGCSE_solea_CS7f-7g,2000,Solea,solea,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_solea_CS7f-7g,latest,Solea,solea,0.448,0.087,0.274,0.623,Above,
ICES-WGCSE_solea_IS7e,1970,Solea,solea,0.024,0.162,-0.299,0.348,Above,
ICES-WGCSE_solea_IS7e,1980,Solea,solea,-0.199,0.101,-0.401,0.003,Above,
ICES-WGCSE_solea_IS7e,1990,Solea,solea,-0.179,0.090,-0.359,0.001,Below,
ICES-WGCSE_solea_IS7e,2000,Solea,solea,-0.093,0.087,-0.268,0.082,Below,
ICES-WGCSE_solea_IS7e,latest,Solea,solea,0.448,0.087,0.274,0.623,Above,
ICES-WGNSSK_aeglefinus_NS 4-3a20-6a,1980,Melanogrammus,aeglefinus,-0.199,0.101,-0.401,0.003,Below,
ICES-WGNSSK_aeglefinus_NS 4-3a20-6a,1990,Melanogrammus,aeglefinus,-0.179,0.090,-0.359,0.001,Below,
ICES-WGNSSK_aeglefinus_NS 4-3a20-6a,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Above,
ICES-WGNSSK_aeglefinus_NS 4-3a20-6a,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Above,
ICES-WGNSSK_maximus_NS4,1990,Scopthalmus,maximus,-0.179,0.090,-0.359,0.001,Below,
ICES-WGNSSK_maximus_NS4,2000,Scopthalmus,maximus,-0.093,0.087,-0.268,0.082,Below,
ICES-WGNSSK_maximus_NS4,latest,Scopthalmus,maximus,0.448,0.087,0.274,0.623,Above,
ICES-WGNSSK_melangus_NS 4-7d,1990,Merlangius,melangus,-0.179,0.090,-0.359,0.001,Below,
ICES-WGNSSK_melangus_NS 4-7d,2000,Merlangius,melangus,-0.093,0.087,-0.268,0.082,Below,
ICES-WGNSSK_melangus_NS 4-7d,latest,Merlangius,melangus,0.448,0.087,0.274,0.623,Above,
ICES-WGNSSK_platessa_NS 4-20-7d,1960,Pleuronectes,platessa,0.116,0.235,-0.353,0.585,Above,
ICES-WGNSSK_platessa_NS 4-20-7d,1970,Pleuronectes,platessa,0.024,0.162,-0.299,0.348,Above,
ICES-WGNSSK_platessa_NS 4-20-7d,1980,Pleuronectes,platessa,-0.199,0.101,-0.401,0.003,Below,
ICES-WGNSSK_platessa_NS 4-20-7d,1990,Pleuronectes,platessa,-0.179,0.090,-0.359,0.001,Below,
ICES-WGNSSK_platessa_NS 4-20-7d,2000,Pleuronectes,platessa,-0.093,0.087,-0.268,0.082,Below,
ICES-WGNSSK_platessa_NS 4-20-7d,latest,Pleuronectes,platessa,0.448,0.087,0.274,0.623,Above,
ICES-WGNSSK_platessa_NS 7d,1980,Pleuronectes,platessa,-0.199,0.101,-0.401,0.003,Below,
ICES-WGNSSK_platessa_NS 7d,1990,Pleuronectes,platessa,-0.179,0.090,-0.359,0.001,Above,
ICES-WGNSSK_platessa_NS 7d,2000,Pleuronectes,platessa,-0.093,0.087,-0.268,0.082,Below,
ICES-WGNSSK_platessa_NS 7d,latest,Pleuronectes,platessa,0.448,0.087,0.274,0.623,Above,
ICES-WGNSSK_virens_NS 4-6- 3a,1970,Pollachius,virens,0.024,0.162,-0.299,0.348,Below,
ICES-WGNSSK_virens_NS 4-6- 3a,1980,Pollachius,virens,-0.199,0.101,-0.401,0.003,Below,
ICES-WGNSSK_virens_NS 4-6- 3a,1990,Pollachius,virens,-0.179,0.090,-0.359,0.001,Below,
ICES-WGNSSK_virens_NS 4-6- 3a,2000,Pollachius,virens,-0.093,0.087,-0.268,0.082,Above,
ICES-WGNSSK_virens_NS 4-6- 3a,latest,Pollachius,virens,0.448,0.087,0.274,0.623,Above,
ICES=WGCSE_morhua_CS7e-k,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Above,
ICES=WGCSE_morhua_CS7e-k,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
ICES=WGCSE_morhua_CS7e-k,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Below,
ICES=WGCSE_morhua_CS7e-k,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Below,
NAFO_morhua_5Z,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Above,
NAFO_morhua_5Z,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
NAFO_morhua_5Z,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Below,
NAFO_morhua_5Z,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Below,
NEFSC-GARMIII_aeglefinus_GOM,1980,Melanogrammus,aeglefinus,-0.199,0.101,-0.401,0.003,Below,
NEFSC-GARMIII_aeglefinus_GOM,1990,Melanogrammus,aeglefinus,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_aeglefinus_GOM,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_aeglefinus_GOM,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Below,
NEFSC-GARMIII_cynoglossus_MAINE- NH,1990,Glyptocephalus,cynoglossus,-0.179,0.090,-0.359,0.001,Above,
NEFSC-GARMIII_cynoglossus_MAINE- NH,2000,Glyptocephalus,cynoglossus,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_cynoglossus_MAINE- NH,latest,Glyptocephalus,cynoglossus,0.448,0.087,0.274,0.623,Below,
NEFSC-GARMIII_dentatus_North Carolina,1990,Paralichthys,dentatus,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_dentatus_North Carolina,2000,Paralichthys,dentatus,-0.093,0.087,-0.268,0.082,Above,
NEFSC-GARMIII_dentatus_North Carolina,latest,Paralichthys,dentatus,0.448,0.087,0.274,0.623,Above,
NEFSC-GARMIII_ferrugina_SNE- MA,1980,Limada,ferrugina,-0.199,0.101,-0.401,0.003,Below,
NEFSC-GARMIII_ferrugina_SNE- MA,1990,Limada,ferrugina,-0.179,0.090,-0.359,0.001,Above,
NEFSC-GARMIII_ferrugina_SNE- MA,2000,Limada,ferrugina,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_ferrugina_SNE- MA,latest,Limada,ferrugina,0.448,0.087,0.274,0.623,Above,
NEFSC-GARMIII_saxatilis_GOM- CHATT,1990,Morone,saxatilis,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_saxatilis_GOM- CHATT,2000,Morone,saxatilis,-0.093,0.087,-0.268,0.082,Above,
NEFSC-GARMIII_saxatilis_GOM- CHATT,latest,Morone,saxatilis,0.448,0.087,0.274,0.623,Above,
NEFSC-GARMIII_tenuis_GOM- GB,1970,Urophycis,tenuis,0.024,0.162,-0.299,0.348,Above,
NEFSC-GARMIII_tenuis_GOM- GB,1980,Urophycis,tenuis,-0.199,0.101,-0.401,0.003,Above,
NEFSC-GARMIII_tenuis_GOM- GB,1990,Urophycis,tenuis,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_tenuis_GOM- GB,2000,Urophycis,tenuis,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_tenuis_GOM- GB,latest,Urophycis,tenuis,0.448,0.087,0.274,0.623,Below,
NEFSC-SAW_Chrysops_USTATL,1990,Stenotomus,Chrysops,-0.179,0.090,-0.359,0.001,Below,
NEFSC-SAW_Chrysops_USTATL,2000,Stenotomus,Chrysops,-0.093,0.087,-0.268,0.082,Below,
NEFSC-SAW_Chrysops_USTATL,latest,Stenotomus,Chrysops,0.448,0.087,0.274,0.623,Above,
NEFSC-SAW_morhua_GOM,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
NEFSC-SAW_morhua_GOM,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
NEFSC-SAW_morhua_GOM,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
NEFSC/CERT/TRAC_morhua_GB 5Ze,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Below,
NEFSC/CERT/TRAC_morhua_GB 5Ze,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
NEFSC/CERT/TRAC_morhua_GB 5Ze,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
NEFSC/CERT/TRAC_morhua_GB 5Ze,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
NEFSC_americanus_GB,1990,Pseudopleuronectes,americanus,-0.179,0.090,-0.359,0.001,Below,
NEFSC_americanus_GB,2000,Pseudopleuronectes,americanus,-0.093,0.087,-0.268,0.082,Above,
NEFSC_americanus_GB,latest,Pseudopleuronectes,americanus,0.448,0.087,0.274,0.623,Below,
NEFSC_virens_GB,1970,Pollachius,virens,0.024,0.162,-0.299,0.348,Above,
NEFSC_virens_GB,1980,Pollachius,virens,-0.199,0.101,-0.401,0.003,Above,
NEFSC_virens_GB,1990,Pollachius,virens,-0.179,0.090,-0.359,0.001,Below,
NEFSC_virens_GB,2000,Pollachius,virens,-0.093,0.087,-0.268,0.082,Below,
NEFSC_virens_GB,latest,Pollachius,virens,0.448,0.087,0.274,0.623,Below,
